datetime_utc,demanda,programada,prevista
2019-03-05 00:00:00+0000,29655.5,29660.42361111111,29660.42361111111
2019-03-06 00:00:00+0000,30463.055555555555,30462.583333333332,30462.583333333332
2019-03-07 00:00:00+0000,30047.215277777777,30093.32638888889,30093.32638888889
2019-03-08 00:00:00+0000,29543.215277777777,30051.215277777777,30051.215277777777
2019-03-09 00:00:00+0000,26303.222222222223,26374.041666666668,26374.041666666668
2019-03-10 00:00:00+0000,24187.04861111111,24194.166666666668,24194.166666666668
2019-03-11 00:00:00+0000,28647.3125,28618.583333333332,28618.583333333332
2019-03-12 00:00:00+0000,29339.006944444445,29337.17361111111,29337.17361111111
2019-03-13 00:00:00+0000,29766.618055555555,29752.430555555555,29752.430555555555
2019-03-14 00:00:00+0000,29700.743055555555,29691.854166666668,29691.854166666668
2019-03-15 00:00:00+0000,29117.395833333332,29148.645833333332,29148.645833333332
2019-03-16 00:00:00+0000,25917.993055555555,25929.8125,25929.8125
2019-03-17 00:00:00+0000,24158.70138888889,24188.416666666668,24188.416666666668
2019-03-18 00:00:00+0000,28062.840277777777,28078.694444444445,28078.694444444445
2019-03-19 00:00:00+0000,27803.840277777777,27830.0625,27830.0625
2019-03-20 00:00:00+0000,29741.5625,29764.92361111111,29764.92361111111
2019-03-21 00:00:00+0000,29909.51388888889,29881.45138888889,29881.45138888889
2019-03-22 00:00:00+0000,29557.51388888889,29565.083333333332,29565.083333333332
2019-03-23 00:00:00+0000,26279.333333333332,26318.777777777777,26318.777777777777
2019-03-24 00:00:00+0000,24134.3125,24114.680555555555,24114.680555555555
2019-03-25 00:00:00+0000,28382.6875,28345.819444444445,28345.819444444445
2019-03-26 00:00:00+0000,28998.152777777777,29020.958333333332,29020.958333333332
2019-03-27 00:00:00+0000,29041.291666666668,29107.506944444445,29107.506944444445
2019-03-28 00:00:00+0000,29037.430555555555,29049.48611111111,29049.48611111111
2019-03-29 00:00:00+0000,28950.583333333332,28952.756944444445,28952.756944444445
2019-03-30 00:00:00+0000,25957.118055555555,25968.54861111111,25968.54861111111
2019-03-31 00:00:00+0000,24558.151515151516,24578.60606060606,24578.60606060606
2019-03-31 00:00:00+0000,23744.0,23883.416666666668,23883.416666666668
2019-04-01 00:00:00+0000,29031.11111111111,29058.270833333332,29058.270833333332
2019-04-02 00:00:00+0000,29413.090277777777,29417.347222222223,29417.347222222223
2019-04-03 00:00:00+0000,29472.284722222223,29549.67361111111,29549.67361111111
2019-04-04 00:00:00+0000,29633.3125,29800.770833333332,29800.770833333332
2019-04-05 00:00:00+0000,30119.729166666668,29818.006944444445,29818.006944444445
2019-04-06 00:00:00+0000,26790.347222222223,26779.32638888889,26779.32638888889
2019-04-07 00:00:00+0000,25117.23611111111,25032.666666666668,25032.666666666668
2019-04-08 00:00:00+0000,29717.57638888889,29718.618055555555,29718.618055555555
2019-04-09 00:00:00+0000,30161.027777777777,30157.520833333332,30157.520833333332
2019-04-10 00:00:00+0000,30039.07638888889,30099.791666666668,30099.791666666668
2019-04-11 00:00:00+0000,29872.708333333332,29910.534722222223,29910.534722222223
2019-04-12 00:00:00+0000,29134.26388888889,29196.930555555555,29196.930555555555
2019-04-13 00:00:00+0000,25767.527777777777,25786.090277777777,25786.090277777777
2019-04-14 00:00:00+0000,23876.694444444445,23900.118055555555,23900.118055555555
2019-04-15 00:00:00+0000,28024.368055555555,27981.36111111111,27981.36111111111
2019-04-16 00:00:00+0000,28141.006944444445,28180.159722222223,28180.159722222223
2019-04-17 00:00:00+0000,27820.409722222223,27826.569444444445,27826.569444444445
2019-04-18 00:00:00+0000,24773.63888888889,24751.76388888889,24751.76388888889
2019-04-19 00:00:00+0000,22829.944444444445,22883.152777777777,22883.152777777777
2019-04-20 00:00:00+0000,23418.555555555555,23460.819444444445,23460.819444444445
2019-04-21 00:00:00+0000,22564.3125,22583.479166666668,22583.479166666668
2019-04-22 00:00:00+0000,24570.333333333332,24603.208333333332,24603.208333333332
2019-04-23 00:00:00+0000,27213.604166666668,27215.333333333332,27215.333333333332
2019-04-24 00:00:00+0000,29017.631944444445,29006.868055555555,29006.868055555555
2019-04-25 00:00:00+0000,28963.118055555555,28967.61111111111,28967.61111111111
2019-04-26 00:00:00+0000,28243.958333333332,28277.17361111111,28277.17361111111
2019-04-27 00:00:00+0000,24787.659722222223,24834.131944444445,24834.131944444445
2019-04-28 00:00:00+0000,22412.729166666668,22442.756944444445,22442.756944444445
2019-04-29 00:00:00+0000,26775.145833333332,26803.23611111111,26803.23611111111
2019-04-30 00:00:00+0000,27588.31818181818,27678.159090909092,27678.159090909092
2019-04-30 00:00:00+0000,23705.916666666668,23761.833333333332,23761.833333333332
